customer_id,name,city,age,salary,signup_date
1,  Customer 1 ,LA,23.0,59091.940446486275,2023-01-01
2,  Customer 2 ,NYC,45.0,20836.556093756004,2023-01-02
3,  Customer 3 ,Los Angeles,45.0,55045.98145679379,2023-01-03
4,  Customer 4 ,LA,61.0,50759.4471637275,2023-01-04
5,  Customer 5 ,NEW YORK,61.0,46738.14534643964,2023-01-05
6,  Customer 6 ,Los Angeles,37.0,999999.0,2023-01-06
7,  Customer 7 ,Los Angeles,47.0,40859.3993617338,2023-01-07
8,  Customer 8 ,LA,28.0,37797.18354559965,2023-01-08
9,  Customer 9 ,new york,45.0,15228.97627718257,2023-01-09
10,  Customer 10 ,NEW YORK,42.0,45979.724722356914,2023-01-10
11,  Customer 11 ,LA,150.0,66444.94684311634,2023-01-11
12,  Customer 12 ,NEW YORK,50.0,44968.834638937406,2023-01-12
13,  Customer 13 ,NEW YORK,18.0,59526.688263529686,2023-01-13
14,  Customer 14 ,Los Angeles,44.0,33796.98694939272,2023-01-14
15,  Customer 15 ,NYC,69.0,30414.536689383644,2023-01-15
16,  Customer 16 ,NEW YORK,30.0,,2023-01-16
17,  Customer 17 ,los angeles,58.0,34617.50195419766,2023-01-17
18,  Customer 18 ,Los Angeles,20.0,32254.405829974214,2023-01-18
19,  Customer 19 ,new york,56.0,56746.610577331005,2023-01-19
20,  Customer 20 ,NYC,,76683.86515828942,2023-01-20
21,  Customer 21 ,los angeles,25.0,39995.84937565231,2023-01-21
22,  Customer 22 ,los angeles,44.0,24622.726156245455,2023-01-22
23,  Customer 23 ,new york,26.0,59851.9599674597,2023-01-23
24,  Customer 24 ,NYC,54.0,28461.487709389523,2023-01-24
25,  Customer 25 ,Los Angeles,50.0,32251.015678183714,2023-01-25
26,  Customer 26 ,New York,68.0,57424.93481287542,2023-01-26
27,  Customer 27 ,NYC,59.0,47520.35578169656,2023-01-27
28,  Customer 28 ,new york,61.0,,2023-01-28
29,  Customer 29 ,los angeles,41.0,51025.268766557434,2023-01-29
30,  Customer 30 ,Los Angeles,32.0,43858.86754142663,2023-01-30
31,  Customer 31 ,NYC,49.0,78343.21484189875,2023-01-31
32,  Customer 32 ,New York,49.0,39862.92898667905,2023-02-01
33,  Customer 33 ,New York,41.0,36298.811940163774,2023-02-02
34,  Customer 34 ,NEW YORK,58.0,43174.502390186506,2023-02-03
35,  Customer 35 ,NEW YORK,69.0,43808.57580214841,2023-02-04
36,  Customer 36 ,LA,66.0,58934.65477706482,2023-02-05
37,  Customer 37 ,new york,,20126.93320202879,2023-02-06
38,  Customer 38 ,NYC,69.0,56390.38800251003,2023-02-07
39,  Customer 39 ,NYC,29.0,41880.71837540049,2023-02-08
40,  Customer 40 ,LA,,61652.34506638405,2023-02-09
41,  Customer 41 ,los angeles,19.0,49285.34433264434,2023-02-10
42,  Customer 42 ,los angeles,20.0,57780.416865766696,2023-02-11
43,  Customer 43 ,LA,66.0,44128.97281877253,2023-02-12
44,  Customer 44 ,los angeles,54.0,56570.33896132513,2023-02-13
45,  Customer 45 ,NEW YORK,66.0,74956.54684172376,2023-02-14
46,  Customer 46 ,NYC,34.0,38911.45352817339,2023-02-15
47,  Customer 47 ,LA,66.0,48392.08287258311,2023-02-16
48,  Customer 48 ,NYC,19.0,42706.74071370314,2023-02-17
49,  Customer 49 ,New York,19.0,73894.72691389197,2023-02-18
50,  Customer 50 ,NEW YORK,45.0,43490.87601484922,2023-02-19
51,  Customer 51 ,Los Angeles,40.0,39009.61698044233,2023-02-20
52,  Customer 52 ,NEW YORK,54.0,41325.84629053794,2023-02-21
53,  Customer 53 ,LA,49.0,47964.23926522652,2023-02-22
54,  Customer 54 ,Los Angeles,50.0,,2023-02-23
55,  Customer 55 ,New York,18.0,44473.25016369955,2023-02-24
56,  Customer 56 ,LA,36.0,52358.02782645617,2023-02-25
57,  Customer 57 ,new york,19.0,,2023-02-26
58,  Customer 58 ,NYC,,62475.62865463771,2023-02-27
59,  Customer 59 ,New York,43.0,45209.67383277833,2023-02-28
60,  Customer 60 ,NYC,,46930.75241783617,2023-03-01
61,  Customer 61 ,los angeles,23.0,54065.92623113395,2023-03-02
62,  Customer 62 ,new york,49.0,83672.09909015844,2023-03-03
63,  Customer 63 ,new york,21.0,38185.971344616926,2023-03-04
64,  Customer 64 ,New York,28.0,78854.36618217919,2023-03-05
65,  Customer 65 ,new york,34.0,32246.402480831934,2023-03-06
66,  Customer 66 ,Los Angeles,55.0,53434.55648345657,2023-03-07
67,  Customer 67 ,new york,41.0,44909.20560232705,2023-03-08
68,  Customer 68 ,NYC,22.0,37770.935952171145,2023-03-09
69,  Customer 69 ,NYC,69.0,60486.38572789983,2023-03-10
70,  Customer 70 ,LA,51.0,58998.44950566509,2023-03-11
71,  Customer 71 ,NYC,23.0,42781.27799264741,2023-03-12
72,  Customer 72 ,LA,39.0,18593.089939474055,2023-03-13
73,  Customer 73 ,NYC,28.0,43699.28803058726,2023-03-14
74,  Customer 74 ,Los Angeles,65.0,52088.061664352244,2023-03-15
75,  Customer 75 ,LA,33.0,50027.20416792014,2023-03-16
76,  Customer 76 ,NEW YORK,,61339.02922687479,2023-03-17
77,  Customer 77 ,los angeles,26.0,79003.13944144986,2023-03-18
78,  Customer 78 ,New York,23.0,56208.12255876211,2023-03-19
79,  Customer 79 ,NYC,33.0,58516.525516364374,2023-03-20
80,  Customer 80 ,new york,46.0,52222.725970687236,2023-03-21
81,  Customer 81 ,NYC,20.0,67586.53673588364,2023-03-22
82,  Customer 82 ,new york,37.0,57971.00016440495,2023-03-23
83,  Customer 83 ,los angeles,53.0,61236.585154464854,2023-03-24
84,  Customer 84 ,los angeles,36.0,77134.35243530244,2023-03-25
85,  Customer 85 ,los angeles,43.0,53404.76451829025,2023-03-26
86,  Customer 86 ,new york,20.0,45935.56606748392,2023-03-27
87,  Customer 87 ,NYC,36.0,,2023-03-28
88,  Customer 88 ,los angeles,37.0,67043.63475678895,2023-03-29
89,  Customer 89 ,Los Angeles,49.0,57521.40135539122,2023-03-30
90,  Customer 90 ,LA,24.0,65909.57868232115,2023-03-31
91,  Customer 91 ,new york,69.0,39965.37759024973,2023-04-01
92,  Customer 92 ,new york,58.0,36978.736618932686,2023-04-02
93,  Customer 93 ,NYC,50.0,41824.43576979363,2023-04-03
94,  Customer 94 ,new york,57.0,30989.265477314973,2023-04-04
95,  Customer 95 ,new york,56.0,51654.49367950132,2023-04-05
96,  Customer 96 ,los angeles,,43549.61921225126,2023-04-06
97,  Customer 97 ,NYC,57.0,68453.17030466568,2023-04-07
